Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0003"
"0.0200","0.0034","0.0041"
"0.0400","0.0201","0.0149"
"0.0600","0.0307","0.0113"
"0.0800","0.0519","0.0252"
"0.1000","0.0753","0.0324"
"0.1200","0.0976","0.0402"
"0.1400","0.1187","0.0479"
"0.1600","0.1395","0.0570"
"0.1800","0.1598","0.0640"
"0.2000","0.1800","0.0709"
"0.2200","0.2003","0.0775"
"0.2400","0.2203","0.0839"
"0.2600","0.2405","0.0889"
"0.2800","0.2604","0.0934"
"0.3000","0.2807","0.0984"
"0.3200","0.3006","0.1031"
"0.3400","0.3207","0.1078"
"0.3600","0.3407","0.1112"
"0.3800","0.3606","0.1155"
"0.4000","0.3806","0.1197"
"0.4200","0.4006","0.1241"
"0.4400","0.4207","0.1274"
"0.4600","0.4408","0.1316"
"0.4800","0.4607","0.1338"
"0.5000","0.4808","0.1366"
"0.5200","0.5007","0.1386"
"0.5400","0.5207","0.1419"
"0.5600","0.5407","0.1450"
"0.5800","0.5607","0.1476"
"0.6000","0.5807","0.1494"
"0.6200","0.6008","0.1533"
"0.6400","0.6207","0.1558"
"0.6600","0.6407","0.1579"
"0.6800","0.6607","0.1592"
"0.7000","0.6807","0.1623"
"0.7200","0.7007","0.1646"
"0.7400","0.7206","0.1660"
"0.7600","0.7407","0.1681"
"0.7800","0.7606","0.1702"
"0.8000","0.7807","0.1722"
"0.8200","0.8006","0.1732"
"0.8400","0.8206","0.1751"
"0.8600","0.8406","0.1782"
"0.8800","0.8606","0.1798"
"0.9000","0.8807","0.1807"
"0.9200","0.9006","0.1822"
"0.9400","0.9206","0.1847"
"0.9600","0.9405","0.1861"
"0.9800","0.9606","0.1876"
"1.0000","0.9806","0.1891"
"1.0200","1.0006","0.1907"
"1.0400","1.0207","0.1922"
"1.0600","1.0405","0.1932"
"1.0800","1.0607","0.1950"
"1.1000","1.0806","0.1964"
"1.1200","1.1006","0.1989"
"1.1400","1.1205","0.1991"
"1.1600","1.1406","0.2007"
"1.1800","1.1606","0.2019"
"1.2000","1.1806","0.2033"
"1.2200","1.2008","0.2044"
"1.2400","1.2206","0.2061"
"1.2600","1.2407","0.2070"
"1.2800","1.2607","0.2098"
"1.3000","1.2807","0.2080"
"1.3200","1.3005","0.2115"
"1.3400","1.3206","0.2110"
"1.3600","1.3405","0.2146"
"1.3800","1.3607","0.2134"
"1.4000","1.3806","0.2172"
"1.4200","1.4005","0.2163"
"1.4400","1.4205","0.2189"
"1.4600","1.4407","0.2177"
"1.4800","1.4606","0.2209"
"1.5000","1.4805","0.2205"
"1.5200","1.5005","0.2228"
"1.5400","1.5206","0.2223"
"1.5600","1.5405","0.2250"
"1.5800","1.5607","0.2244"
"1.6000","1.5806","0.2257"
"1.6200","1.6007","0.2265"
"1.6400","1.6206","0.2295"
"1.6600","1.6406","0.2287"
"1.6800","1.6605","0.2301"
"1.7000","1.6805","0.2295"
"1.7200","1.7006","0.2322"
"1.7400","1.7206","0.2326"
"1.7600","1.7407","0.2342"
"1.7800","1.7606","0.2342"
"1.8000","1.7808","0.2364"
"1.8200","1.8007","0.2366"
"1.8400","1.8207","0.2381"
"1.8600","1.8406","0.2381"
"1.8800","1.8605","0.2406"
"1.9000","1.8806","0.2411"
"1.9200","1.9008","0.2411"
"1.9400","1.9208","0.2416"
"1.9600","1.9406","0.2432"
"1.9800","1.9606","0.2440"
"2.0000","1.9806","0.2446"
"2.0200","2.0007","0.2456"
"2.0400","2.0206","0.2464"
"2.0600","2.0404","0.2468"
"2.0800","2.0605","0.2471"
"2.1000","2.0806","0.2492"
"2.1200","2.1007","0.2503"
"2.1400","2.1206","0.2508"
"2.1600","2.1407","0.2503"
"2.1800","2.1606","0.2518"
"2.2000","2.1806","0.2522"
"2.2200","2.2007","0.2535"
"2.2400","2.2206","0.2529"
"2.2600","2.2406","0.2553"
"2.2800","2.2606","0.2552"
"2.3000","2.2806","0.2569"
"2.3200","2.3006","0.2562"
"2.3400","2.3207","0.2582"
"2.3600","2.3408","0.2581"
"2.3800","2.3607","0.2598"
"2.4000","2.3808","0.2599"
"2.4200","2.4005","0.2620"
"2.4400","2.4206","0.2617"
"2.4600","2.4405","0.2624"
"2.4800","2.4607","0.2621"
"2.5000","2.4806","0.2638"
"2.5200","2.5006","0.2640"
"2.5400","2.5206","0.2651"
"2.5600","2.5406","0.2645"
"2.5800","2.5607","0.2662"
"2.6000","2.5805","0.2664"
"2.6200","2.6005","0.2673"
"2.6400","2.6202","0.2676"
"2.6600","2.6403","0.2693"
"2.6800","2.6605","0.2697"
"2.7000","2.6806","0.2704"
"2.7200","2.7006","0.2705"
"2.7400","2.7206","0.2714"
"2.7600","2.7406","0.2720"
"2.7800","2.7604","0.2729"
"2.8000","2.7805","0.2739"
"2.8200","2.8004","0.2751"
"2.8400","2.8205","0.2753"
"2.8600","2.8405","0.2748"
"2.8800","2.8606","0.2756"
"2.9000","2.8806","0.2769"
"2.9200","2.9005","0.2780"
"2.9400","2.9206","0.2778"
"2.9600","2.9406","0.2783"
"2.9800","2.9606","0.2790"
"3.0000","2.9805","0.2802"
"3.0200","3.0004","0.2796"
"3.0400","3.0205","0.2815"
"3.0600","3.0405","0.2814"
"3.0800","3.0607","0.2821"
"3.1000","3.0806","0.2815"
"3.1200","3.1006","0.2832"
"3.1400","3.1206","0.2837"
"3.1600","3.1407","0.2848"
"3.1800","3.1607","0.2841"
"3.2000","3.1807","0.2852"
"3.2200","3.2006","0.2855"
"3.2400","3.2204","0.2867"
"3.2600","3.2406","0.2868"
"3.2800","3.2605","0.2881"
"3.3000","3.2807","0.2884"
"3.3200","3.3006","0.2888"
"3.3400","3.3206","0.2882"
"3.3600","3.3405","0.2897"
"3.3800","3.3606","0.2903"
"3.4000","3.3805","0.2913"
"3.4200","3.4005","0.2907"
"3.4400","3.4206","0.2923"
"3.4600","3.4406","0.2921"
"3.4800","3.4606","0.2928"
"3.5000","3.4806","0.2922"
"3.5200","3.5006","0.2941"
"3.5400","3.5207","0.2942"
"3.5600","3.5406","0.2951"
"3.5800","3.5606","0.2946"
"3.6000","3.5805","0.2964"
"3.6200","3.6006","0.2963"
"3.6400","3.6205","0.2969"
"3.6600","3.6406","0.2970"
"3.6800","3.6606","0.2980"
"3.7000","3.6807","0.2976"
"3.7200","3.7007","0.2985"
"3.7400","3.7206","0.2986"
"3.7600","3.7407","0.2999"
"3.7800","3.7607","0.3001"
"3.8000","3.7809","0.2998"
"3.8200","3.8007","0.3009"
"3.8400","3.8207","0.3020"
"3.8600","3.8406","0.3024"
"3.8800","3.8605","0.3010"
"3.9000","3.8805","0.3023"
"3.9200","3.9006","0.3020"
"3.9400","3.9205","0.3036"
"3.9600","3.9404","0.3033"
"3.9800","3.9606","0.3052"
"4.0000","3.9806","0.3042"
"4.0200","4.0006","0.3051"
"4.0400","4.0207","0.3044"
"4.0600","4.0406","0.3065"
"4.0800","4.0607","0.3056"
"4.1000","4.0806","0.3068"
"4.1200","4.1007","0.3051"
"4.1400","4.1205","0.3082"
"4.1600","4.1406","0.3077"
"4.1800","4.1605","0.3095"
"4.2000","4.1806","0.3070"
"4.2200","4.2006","0.3100"
"4.2400","4.2205","0.3087"
"4.2600","4.2407","0.3107"
"4.2800","4.2606","0.3085"
"4.3000","4.2807","0.3115"
"4.3200","4.3005","0.3102"
"4.3400","4.3206","0.3116"
"4.3600","4.3405","0.3109"
"4.3800","4.3607","0.3128"
"4.4000","4.3806","0.3121"
"4.4200","4.4006","0.3136"
"4.4400","4.4206","0.3124"
"4.4600","4.4406","0.3139"
"4.4800","4.4606","0.3134"
"4.5000","4.4806","0.3138"
"4.5200","4.5005","0.3139"
"4.5400","4.5206","0.3151"
"4.5600","4.5405","0.3151"
"4.5800","4.5606","0.3153"
"4.6000","4.5805","0.3150"
"4.6200","4.6006","0.3163"
