Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0075"
"0.0200","0.0026","-0.0048"
"0.0400","0.0186","0.0101"
"0.0600","0.0287","0.0211"
"0.0800","0.0503","0.0496"
"0.1000","0.0738","0.0748"
"0.1200","0.0961","0.0992"
"0.1400","0.1173","0.1201"
"0.1600","0.1379","0.1371"
"0.1800","0.1585","0.1517"
"0.2000","0.1787","0.1638"
"0.2200","0.1990","0.1740"
"0.2400","0.2189","0.1808"
"0.2600","0.2390","0.1884"
"0.2800","0.2590","0.1947"
"0.3000","0.2790","0.2011"
"0.3200","0.2992","0.2056"
"0.3400","0.3191","0.2117"
"0.3600","0.3392","0.2160"
"0.3800","0.3591","0.2204"
"0.4000","0.3793","0.2239"
"0.4200","0.3992","0.2289"
"0.4400","0.4193","0.2316"
"0.4600","0.4393","0.2354"
"0.4800","0.4594","0.2378"
"0.5000","0.4792","0.2415"
"0.5200","0.4993","0.2433"
"0.5400","0.5192","0.2472"
"0.5600","0.5392","0.2479"
"0.5800","0.5591","0.2512"
"0.6000","0.5792","0.2526"
"0.6200","0.5991","0.2554"
"0.6400","0.6192","0.2553"
"0.6600","0.6391","0.2570"
"0.6800","0.6592","0.2567"
"0.7000","0.6791","0.2585"
"0.7200","0.6991","0.2589"
"0.7400","0.7191","0.2616"
"0.7600","0.7390","0.2624"
"0.7800","0.7591","0.2632"
"0.8000","0.7791","0.2615"
"0.8200","0.7993","0.2616"
"0.8400","0.8190","0.2612"
"0.8600","0.8393","0.2627"
"0.8800","0.8590","0.2630"
"0.9000","0.8792","0.2646"
"0.9200","0.8991","0.2641"
"0.9400","0.9192","0.2646"
"0.9600","0.9391","0.2637"
"0.9800","0.9591","0.2619"
"1.0000","0.9791","0.2600"
"1.0200","0.9991","0.2588"
"1.0400","1.0192","0.2583"
"1.0600","1.0391","0.2585"
"1.0800","1.0592","0.2592"
"1.1000","1.0790","0.2585"
"1.1200","1.0989","0.2592"
"1.1400","1.1190","0.2585"
"1.1600","1.1390","0.2572"
"1.1800","1.1592","0.2556"
"1.2000","1.1791","0.2555"
"1.2200","1.1992","0.2545"
"1.2400","1.2191","0.2528"
"1.2600","1.2391","0.2498"
"1.2800","1.2592","0.2499"
"1.3000","1.2791","0.2492"
"1.3200","1.2991","0.2495"
"1.3400","1.3190","0.2467"
"1.3600","1.3391","0.2471"
"1.3800","1.3590","0.2462"
"1.4000","1.3791","0.2469"
"1.4200","1.3991","0.2452"
"1.4400","1.4191","0.2459"
"1.4600","1.4391","0.2449"
"1.4800","1.4591","0.2448"
"1.5000","1.4792","0.2424"
"1.5200","1.4991","0.2440"
"1.5400","1.5192","0.2433"
"1.5600","1.5392","0.2443"
"1.5800","1.5592","0.2415"
"1.6000","1.5792","0.2400"
"1.6200","1.5992","0.2373"
"1.6400","1.6192","0.2380"
"1.6600","1.6392","0.2362"
"1.6800","1.6593","0.2381"
"1.7000","1.6791","0.2365"
"1.7200","1.6992","0.2375"
"1.7400","1.7191","0.2352"
"1.7600","1.7393","0.2367"
"1.7800","1.7593","0.2349"
"1.8000","1.7792","0.2360"
"1.8200","1.7992","0.2339"
"1.8400","1.8192","0.2353"
"1.8600","1.8393","0.2329"
"1.8800","1.8590","0.2320"
"1.9000","1.8791","0.2267"
"1.9200","1.8992","0.2265"
"1.9400","1.9193","0.2237"
"1.9600","1.9392","0.2238"
"1.9800","1.9592","0.2206"
"2.0000","1.9791","0.2221"
"2.0200","1.9991","0.2202"
"2.0400","2.0191","0.2211"
"2.0600","2.0391","0.2197"
"2.0800","2.0590","0.2213"
"2.1000","2.0791","0.2206"
"2.1200","2.0991","0.2213"
"2.1400","2.1193","0.2189"
"2.1600","2.1392","0.2206"
"2.1800","2.1591","0.2201"
"2.2000","2.1791","0.2216"
"2.2200","2.1992","0.2194"
